col_name,question_text,qualtrics_num
cost_3000,Imagine that regulation for behavior analysis has been approved in Ontario. How likely are you to spend the following amount of money to be part of the regulatory body? - Would you opt-in to a regulatory body that costs $3000,Q67_1
max_money,Imagine that regulation for behavior analysis has been approved in Ontario. What is the maximum amount of money you are 100% likely to be part of the regulatory body?,Q160
accrue_0_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 0 hours?,Q80_1
accrue_25_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 25 hours?,Q157_1
accrue_50_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 50 hours?,Q156_1
accrue_100_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 100 hours?,Q155_1
accrue_200_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 200 hours?,Q82_1
accrue_300_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 300 hours?,Q83_1
accrue_400_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 400 hours?,Q84_1
accrue_500_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 500 hours?,Q85_1
accrue_600_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 600 hours?,Q86_1
accrue_700_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 700 hours?,Q87_1
accrue_800_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 800 hours?,Q88_1
accrue_900_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 900 hours?,Q89_1
accrue_1000_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 1000 hours?,Q90_1
accrue_1100_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 1100 hours?,Q91_1
accrue_1200_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 1200 hours?,Q92_1
accrue_1300_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 1300 hours?,Q93_1
accrue_1400_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 1400 hours?,Q94_1
accrue_1500_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 1500 hours?,Q95_1
accrue_1600_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 1600 hours?,Q96_1
accrue_1700_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 1700 hours?,Q98_1
accrue_1800_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 1800 hours?,Q97_1
accrue_1900_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 1900 hours?,Q99_1
accrue_2000_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 2000 hours?,Q100_1
accrue_2100_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 2100 hours?,Q101_1
accrue_2200_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 2200 hours?,Q102_1
accrue_2300_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 2300 hours?,Q103_1
accrue_2400_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 2400 hours?,Q104_1
accrue_2500_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 2500 hours?,Q105_1
accrue_2600_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 2600 hours?,Q106_1
accrue_2700_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 2700 hours?,Q107_1
accrue_2800_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 2800 hours?,Q108_1
accrue_2900_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 2900 hours?,Q109_1
accrue_3000_hours,Imagine that regulation for behavior analysis has been approved. How likely are you to spend the following amount of hours accruing the required experience and oversight to qualify to be part of the regulation body? - Would you spend 3000 hours?,Q110_1
max_hours,"Imagine that regulation for behaviour analysis has been approved in Ontario. What is the maximum amount of hours you are willing to accrue to meet the required experience and oversight to qualify to be part of the regulation body, with a 100% likelihood?",Q161
